recStatus,primaryKey,mTrnFmly,mTrnGrp,mTrnType,mTrnTypo,internal,portfolio,counterparty,strategy,mInstrument,mPlInscur,mMktIndex,mCommentBs,mBtrader,mBcomment0,mBcomment1,mBcomment2,mBsection,mBentity,mStrader,mScomment0,mScomment1,mScomment2,mSsection,mSentity,mTrnDate,mTrnExp,mBrwNom1,mBrwNomu1,mBrwNom2,mBrwNomu2,mBrwRte1,mBrwRte2,mBrwMrg1,mBrwMrg2,mAlmStrate,mAnSegment,mBlockpymnt,mBmaFact,mCustdyAcc,mCustdyPos,mDerecog,mDfUsiPre,mDfUsiVal,mDfVenue,mDmtradedat,mEmUtiPre,mEmUtiVal,mExptMat,mForbear,mFundedNb,mGainshare,mHedgetype,mIfrsMacro,mIfrsOffse,mIfrs9Class,mIfrs9Hedge,mIfrs9Model,mIntxferPr,mModcshflow,mOptionTyp,mRestrucDt,mRestrucFg,mSgExclude,mSpbaMidas,mSppi,mTdr,mRplAmo,mRplUsrdat,mRplDate1,mRplDate2,mRplAmttyp,mRplCur,mAccPror
"MISMATCH","191328","IRD","IRS","","IRS FVH SEC","N","FLOA | ABBA","JPMCHBKNY","DCL135","ZRUSDLIB3M6M_U2 | USD LIBOR S 3M ANNIVERSARY","USD","USD3MLIBOR | USD LIBOR 3M","B","CAUSO | MUREXFO","Former GENRE SWAP","","","AFS","DCLNY | DEXIA_NY","","","","","","DCLNY | DEXIA_NY","19971121","20290215","25000000","USD","25000000","USD","7.125","0","0","0","","","","0"," | 000076742"," | HELD","","OIPBYND1F4","DCLNY191328","","0","OIPBYND1F4","DCLNY191328","","","0","0","Perfect","FVH-A-P-IR"," | Y","FD","FVH","","0","","","","","","","","","N","N","19981126","20290215","USR","","0"
"MISMATCH","191329","IRD","IRS","","IRS FVH SEC","N","FLOA | ABBA","JPMCHBKNY","DCL111A","ZRUSDLIB3M6M_U2 | USD LIBOR S 3M ANNIVERSARY","USD","USD3MLIBOR | USD LIBOR 3M","B","CAUSO | MUREXFO","Former GENRE SWAP","","","AFS","DCLNY | DEXIA_NY","","","","","","DCLNY | DEXIA_NY","19980715","20290215","25000000","USD","25000000","USD","7.14","0","0","0","","","","0"," | 000076742"," | HELD","","OIPBYND1F4","DCLNY191329","","0","OIPBYND1F4","DCLNY191329","","","0","0","Perfect","FVH-A-P-IR"," | Y","FD","FVH","","0","","","","","","","","","N","N","","","USR","","0"
"MISMATCH","191330","IRD","IRS","","IRS FVH SEC","N","FLOA | ABBA","JPMCHBKNY","DCL135E","ZRUSDLIB3M6M_U2 | USD LIBOR S 3M ANNIVERSARY","USD","USD3MLIBOR | USD LIBOR 3M","B","CAUSO | MUREXFO","","","","AFS","DCLNY | DEXIA_NY","","","","","","DCLNY | DEXIA_NY","20001220","20290215","15000000","USD","15000000","USD","6.95","0","0","0","","","","0"," | 000076742"," | HELD","","OIPBYND1F4","DCLNY191330","","0","OIPBYND1F4","DCLNY191330","","","0","0","Perfect","FVH-A-P-IR"," | Y","FD","FVH","","0","","","","","","","","","N","N","20001226","20290215","USR","","0"
"MISMATCH","191331","IRD","IRS","","IRS FVH SEC","N","FLOA | ABBA","JPMCHBKNY","DCL135F","ZRUSDLIB3M6M_U2 | USD LIBOR S 3M ANNIVERSARY","USD","USD3MLIBOR | USD LIBOR 3M","B","CAUSO | MUREXFO","","","","AFS","DCLNY | DEXIA_NY","","","","","","DCLNY | DEXIA_NY","20010109","20290215","20000000","USD","20000000","USD","6.945","0","0","0","","","","0"," | 000076742"," | HELD","","OIPBYND1F4","DCLNY191331","","0","OIPBYND1F4","DCLNY191331","","","0","0","Perfect","FVH-A-P-IR"," | Y","FD","FVH","","0","","","","","","","","","N","N","20010112","20290215","USR","","0"
"MISMATCH","191332","IRD","IRS","","IRS FVH SEC","N","FLOA | ABBA","JPMCHBKNY","DCL135G","ZRUSDLIB3M6M_U2 | USD LIBOR S 3M ANNIVERSARY","USD","USD3MLIBOR | USD LIBOR 3M","B","CAUSO | MUREXFO","","","","AFS","DCLNY | DEXIA_NY","","","","","","DCLNY | DEXIA_NY","20010118","20290215","10901000","USD","10901000","USD","6.983","0","0","0","","","","0"," | 000076742"," | HELD","","OIPBYND1F4","DCLNY191332","","0","OIPBYND1F4","DCLNY191332","","","0","0","Perfect","FVH-A-P-IR"," | Y","FD","FVH","","0","","","","","","","","","N","N","20010123","20290215","USR","","0"
"MISMATCH","191333","IRD","IRS","","IRS FVH SEC","N","FLOA | ABBA","JPMCHBKNY","DCL135H","ZRUSDLIB3M6M_U2 | USD LIBOR S 3M ANNIVERSARY","USD","USD3MLIBOR | USD LIBOR 3M","B","CAUSO | MUREXFO","","","","AFS","DCLNY | DEXIA_NY","","","","","","DCLNY | DEXIA_NY","20010209","20290215","5000000","USD","5000000","USD","7.02","0","0","0","","","","0"," | 000076742"," | HELD","","OIPBYND1F4","DCLNY191333","","0","OIPBYND1F4","DCLNY191333","","","0","0","Perfect","FVH-A-P-IR"," | Y","FD","FVH","","0","","","","","","","","","N","N","20010214","20290215","USR","","0"
"MISMATCH","191334","IRD","IRS","","IRS FVH SEC","N","FLOA | ABBA","JPMCHBKNY","DCL135I","ZRUSDLIB3M6M_U2 | USD LIBOR S 3M ANNIVERSARY","USD","USD3MLIBOR | USD LIBOR 3M","B","CAUSO | MUREXFO","","","","AFS","DCLNY | DEXIA_NY","","","","","","DCLNY | DEXIA_NY","20010312","20290215","41105000","USD","41105000","USD","7.065","0","0","0","","","","0"," | 000076742"," | HELD","","OIPBYND1F4","DCLNY191334","","0","OIPBYND1F4","DCLNY191334","","","0","0","Perfect","FVH-A-P-IR"," | Y","FD","FVH","","0","","","","","","","","","N","N","20010315","20290215","USR","","0"
"MISMATCH","191336","IRD","IRS","","IRS FVH SEC","N","FLOA | ABBA","JPMCHBKNY","DCL135Q","ZRUSDLIB3M6M_U2 | USD LIBOR S 3M ANNIVERSARY","USD","USD3MLIBOR | USD LIBOR 3M","B","CAUSO | MUREXFO","","","","AFS","DCLNY | DEXIA_NY","","","","","","DCLNY | DEXIA_NY","20010920","20290215","3450000","USD","3450000","USD","6.935","0","0","0","","","","0"," | 000076742"," | HELD","","OIPBYND1F4","DCLNY191336","","0","OIPBYND1F4","DCLNY191336","","","0","0","Perfect","FVH-A-P-IR"," | Y","FD","FVH","","0","","","","","","","","","N","N","20010927","20290215","USR","","0"
"MISMATCH","191337","IRD","IRS","","IRS FVH SEC","N","FLOA | ABBA","JPMCHBKNY","DCL135S","ZRUSDLIB3M6M_U2 | USD LIBOR S 3M ANNIVERSARY","USD","USD3MLIBOR | USD LIBOR 3M","B","CAUSO | MUREXFO","","","","AFS","DCLNY | DEXIA_NY","","","","","","DCLNY | DEXIA_NY","20010921","20290215","10000000","USD","10000000","USD","6.9325","0","0","0","","","","0"," | 000076742"," | HELD","","OIPBYND1F4","DCLNY191337","","0","OIPBYND1F4","DCLNY191337","","","0","0","Perfect","FVH-A-P-IR"," | Y","FD","FVH","","0","","","","","","","","","N","N","20010926","20290215","USR","","0"
"MISMATCH","191338","IRD","IRS","","IRS FVH SEC","N","FLOA | ABBA","JPMCHBKNY","DCL135R","ZRUSDLIB3M6M_U2 | USD LIBOR S 3M ANNIVERSARY","USD","USD3MLIBOR | USD LIBOR 3M","B","CAUSO | MUREXFO","","","","AFS","DCLNY | DEXIA_NY","","","","","","DCLNY | DEXIA_NY","20010921","20290215","10500000","USD","10500000","USD","6.925","0","0","0","","","","0"," | 000076742"," | HELD","","OIPBYND1F4","DCLNY191338","","0","OIPBYND1F4","DCLNY191338","","","0","0","Perfect","FVH-A-P-IR"," | Y","FD","FVH","","0","","","","","","","","","N","N","20010928","20290215","USR","","0"
